2025-11-08T17:36:43.000000000Z [inf]  Starting Container
2025-11-08T17:36:43.723714011Z [inf]  
2025-11-08T17:36:43.723721430Z [inf]  > rest-express@1.0.0 start
2025-11-08T17:36:43.723727707Z [inf]  > NODE_ENV=production node dist/index.js
2025-11-08T17:36:43.723754490Z [err]  npm warn config production Use `--omit=dev` instead.
2025-11-08T17:36:43.723771450Z [inf]  
2025-11-08T17:36:44.733831867Z [inf]  5:36:44 PM [express] serving on port 8080
2025-11-08T17:36:53.186851812Z [inf]  5:36:53 PM [express] GET /api/auth/me 401 in 2ms :: {"message":"Authentication required"}
2025-11-08T17:36:57.783649191Z [err]  [AUTH] Authentication error for abhishek@solvextra.com: error: password authentication failed for user 'neondb_owner'
2025-11-08T17:36:57.783662901Z [err]      at file:///app/node_modules/@neondatabase/serverless/index.mjs:1345:74
2025-11-08T17:36:57.783671490Z [err]      at process.processTicksAndRejections (node:internal/process/task_queues:105:5)
2025-11-08T17:36:57.783679540Z [err]      at async NeonPreparedQuery.execute (file:///app/node_modules/drizzle-orm/neon-serverless/session.js:76:20)
2025-11-08T17:36:57.783686220Z [err]      at async DatabaseStorage.getUserByEmail (file:///app/dist/index.js:296:20)
2025-11-08T17:36:57.783693968Z [err]      at async authenticateUser (file:///app/dist/index.js:811:18)
2025-11-08T17:36:57.783702259Z [err]      at async file:///app/dist/index.js:1634:20 {
2025-11-08T17:36:57.783709323Z [err]    length: 75,
2025-11-08T17:36:57.783715630Z [err]    severity: 'ERROR',
2025-11-08T17:36:57.783723287Z [err]    code: 'XX000',
2025-11-08T17:36:57.783731196Z [err]    detail: undefined,
2025-11-08T17:36:57.783738993Z [err]    hint: undefined,
2025-11-08T17:36:57.783745807Z [err]    position: undefined,
2025-11-08T17:36:57.783752223Z [err]    internalPosition: undefined,
2025-11-08T17:36:57.783758928Z [err]    internalQuery: undefined,
2025-11-08T17:36:57.783765182Z [err]    where: undefined,
2025-11-08T17:36:57.783771966Z [err]    schema: undefined,
2025-11-08T17:36:57.783780186Z [err]    table: undefined,
2025-11-08T17:36:57.783789393Z [err]    column: undefined,
2025-11-08T17:36:57.783797757Z [err]    dataType: undefined,
